#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude(ax)[12], PosLongitude(ay)[13], PosElevation(az)[14], DroneTime[15]
4479, 6055.86, -1, 65, -0.0208741, 0.011397, 2.06937, -0.0430382, 0.00156842, -0.128242, 0.13528, 0.762, 2116, 2080, 2584, 732318554
4480, 6086.85, -1, 65, -0.0217468, 0.0136834, 2.06809, -0.0382891, 0.00942092, -0.114374, 0.12098, 0.755, 1960, 2028, 2556, 732358715
4481, 6123.87, -1, 65, -0.021677, 0.0142593, 2.06855, -0.0363457, 0.0136642, -0.0962548, 0.103792, 0.752, 2044, 2108, 2556, 732388836
4482, 6149.83, -1, 65, -0.0208392, 0.0131772, 2.06787, -0.0319689, 0.0159391, -0.0840967, 0.0913691, 0.75, 1976, 2036, 2548, 732408886
4483, 6179.98, -1, 65, -0.0180991, 0.00949459, 2.06739, -0.0267422, 0.0244875, -0.0584258, 0.0687631, 0.75, 1988, 2000, 2564, 732444011
4484, 6216.37, -1, 65, -0.0149575, 0.00610865, 2.06712, -0.0278088, 0.0314384, -0.0541144, 0.0684841, 0.747, 2024, 2088, 2520, 732474132
4485, 6245.08, -1, 65, -0.0113446, 0.00331613, 2.06638, -0.0289419, 0.0370708, -0.0469146, 0.0664294, 0.744, 2024, 2076, 2540, 732509594
4486, 6273.94, -1, 65, -0.0079587, 0.00193732, 2.06612, -0.030114, 0.0414932, -0.0162321, 0.0537775, 0.746, 2032, 2052, 2572, 732544658
4487, 6303.91, -1, 65, -0.00572468, 0.00158825, 2.06525, -0.0311469, 0.05366, -0.0126825, 0.0633275, 0.745, 2040, 2100, 2504, 732574535
4488, 6334.67, -1, 65, -0.00427606, 0.00165806, 2.06497, -0.0307437, 0.0505719, -0.00598157, 0.0594851, 0.746, 2048, 2076, 2552, 732594738
4489, 6364.84, -1, 65, -0.00148353, 0.00253073, 2.06448, -0.0340857, 0.0493194, 0.00279804, 0.0600172, 0.747, 2060, 2052, 2568, 732629955
4490, 6395.6, -1, 65, 0.00179769, 0.00301942, 2.06362, -0.0357596, 0.0569303, 0.00147331, 0.0672457, 0.747, 2068, 2040, 2572, 732665111
4491, 6427.28, -1, 65, 0.00450295, 0.00205949, 2.06315, -0.0371564, 0.0637163, 0.000616384, 0.0737614, 0.748, 2064, 2072, 2516, 732695110
4492, 6458.14, -1, 65, 0.00764454, -0.000226893, 2.06254, -0.0362109, 0.065718, 0.00133001, 0.0750457, 0.748, 2076, 2068, 2528, 732730297
4493, 6488.43, -1, 65, 0.0108734, -0.00268781, 2.06212, -0.0386916, 0.0592116, 0.0134422, 0.0719982, 0.752, 1976, 2016, 2504, 732760479
4494, 6518.68, -1, 65, 0.0131772, -0.00438078, 2.06186, -0.0397029, 0.0699864, 0.0191853, 0.0827193, 0.754, 2028, 2048, 2516, 732780590
4495, 6548.42, -1, 65, 0.0161443, -0.00591667, 2.06171, -0.0432214, 0.059147, 0.0101665, 0.0739582, 0.754, 1956, 1996, 2516, 732810650
4496, 6578.86, -1, 65, 0.0159872, -0.0015708, 2.06176, -0.0509117, 0.0588208, 0.00259581, 0.0778372, 0.755, 2020, 2036, 2508, 732850933
